2026-03-01T19:02:15.228429030Z [inf]  Starting Container
2026-03-01T19:02:17.621800733Z [inf]  [migration] Found 4 table(s) missing userId column — dropping for fresh recreate...
2026-03-01T19:02:17.621806279Z [inf]  [migration] Tables: push_delivery_metrics, push_delivery_failures, integration_sync_attempts, sync_queue
2026-03-01T19:02:17.621811335Z [inf]  [migration] Dropped 4 tables. initializeSchema() will recreate them.
2026-03-01T19:02:17.621815811Z [inf]  [auth] Admin email configured (wathne.sveinung@gmail.com) — will be promoted to admin on OAuth login.
2026-03-01T19:02:17.640846946Z [inf]  [companion] listening on http://localhost:8080
2026-03-01T19:02:17.640857510Z [inf]  [companion] storage backend=postgres-snapshot sqlite=/app/companion.db restoredSnapshotAt=2026-03-01T18:56:51.289Z
2026-03-01T19:02:17.640863324Z [inf]  [push] VAPID keys=configured subject=mailto:wathne.sveinung@gmail.com
2026-03-01T19:02:17.640868697Z [inf]  [push] subscriptions=16
2026-03-01T19:02:17.683074407Z [inf]  [orchestrator] started — polling every 30s for due notifications
2026-03-01T19:02:20.638132439Z [inf]  [push] delivering "Evening check-in" to 10 subscription(s)
2026-03-01T19:02:21.051500152Z [inf]  [push] result: delivered=true status=n/a attempts=1
2026-03-01T19:02:21.064102707Z [inf]  [push] result: delivered=true status=n/a attempts=1
2026-03-01T19:02:21.069858204Z [inf]  [push] result: delivered=true status=n/a attempts=1
2026-03-01T19:02:21.075501214Z [inf]  [push] result: delivered=true status=n/a attempts=1
2026-03-01T19:02:21.081526986Z [inf]  [push] result: delivered=true status=n/a attempts=1
2026-03-01T19:02:21.093930997Z [inf]  [push] result: delivered=true status=n/a attempts=1
2026-03-01T19:02:21.106638088Z [inf]  [push] result: delivered=true status=n/a attempts=1
2026-03-01T19:02:21.112401608Z [inf]  [push] result: delivered=true status=n/a attempts=1
2026-03-01T19:02:21.124611490Z [inf]  [push] result: delivered=true status=n/a attempts=1
2026-03-01T19:02:21.137007836Z [inf]  [push] result: delivered=true status=n/a attempts=1
2026-03-01T19:02:41.134784380Z [inf]  [google-cal-oauth] Callback hit: state=xetf8vm9k9r code=present error=none pendingMatch=false
2026-03-01T19:03:11.089737337Z [inf]  [mcp] Skipping validation for GitHub (read-only repos) (OAuth flow — will validate on first tool call)
2026-03-01T19:03:11.089743956Z [inf]  [tp-github-sub-agent] scheduled background import for user=user-1771361993528-1 githubServer=github-read-only-repos-f492c062bb
2026-03-01T19:03:31.092715757Z [inf]  - For factual questions about schedule, deadlines, or connected external systems, use tools before answering.
2026-03-01T19:03:31.092725983Z [inf]  - Companion has a built-in schedule ("in-app schedule") managed by createScheduleBlock/updateScheduleBlock/deleteScheduleBlock/getSchedule/clearScheduleWindow. This always works — it does not require any external calendar integration.
2026-03-01T19:03:31.092733531Z [inf]  - For simple greetings/small talk (for example "hi", "hello", "yo"), reply naturally without tool calls.
2026-03-01T19:03:31.092740953Z [inf]  - For habits and goals questions, call getHabitsGoalsStatus first. For create/delete requests, use createHabit/deleteHabit/createGoal/deleteGoal. For check-ins, use updateHabitCheckIn/updateGoalCheckIn.
2026-03-01T19:03:31.092747844Z [inf]  - For nutrition requests, use nutrition tools and focus on macro tracking only: calories, protein, carbs, and fat.
2026-03-01T19:03:31.092755967Z [inf]  - You can control the full Food tab via tools: nutrition targets, meals, meal items, and custom foods.
2026-03-01T19:03:31.092762748Z [inf]  - Applying a nutrition snapshot sets the default baseline plan for upcoming days.
2026-03-01T19:03:31.092769938Z [inf]  - Daily meal edits are temporary for that day; a new day resets to the default baseline snapshot automatically.
2026-03-01T19:03:31.092777433Z [inf]  - Treat loaded meal-plan snapshots as planned meals, not automatically eaten meals.
2026-03-01T19:03:31.092783664Z [inf]  [chat] user message: userId=user-1771361993528-1 text="Do you see dat 560 and dat 520 repos now?"
2026-03-01T19:03:31.092791256Z [inf]  [gemini] system prompt: userId=user-1771361993528-1 length=13172 tools=58 messages=25
2026-03-01T19:03:31.092798948Z [inf]  [gemini] system instruction:
2026-03-01T19:03:31.092806648Z [inf]  You are Companion, a personal AI assistant for Bunnyflake.
2026-03-01T19:03:31.092814304Z [inf]  
2026-03-01T19:03:31.092821049Z [inf]  Core behavior:
2026-03-01T19:03:31.093806218Z [inf]  - When user says they consumed a meal, mark that meal completed and set consumedAt to the actual time (or now if not provided).
2026-03-01T19:03:31.093810739Z [inf]  - For image-based meal logging, prefer createNutritionMeal with detailed items (one item per visible food component).
2026-03-01T19:03:31.093816841Z [inf]  - For each item in image-based meal logs, include a realistic quantity and per-item macro values so totals are traceable item-by-item. Use the appropriate unit: grams (g) for solid foods, ml for liquids, ea (each) for countable items like eggs or rolls.
